model,dialect,comparison,outcome,estimate,standard_error,ci_low,ci_high,t_stat,p_value,n,p_bonferroni,significant_bonferroni
Qwen3-30B-A3B-Instruct-2507,AAE,AAE - SAE,moral_acceptability,-0.08756345177664974,0.024849929864935807,-0.1363434383876585,-0.03878346516564098,-3.5236900970173397,0.0004501398683989314,788,0.025207832630340158,True
Qwen3-30B-A3B-Instruct-2507,ChE,ChE - SAE,moral_acceptability,-0.0012690355329949238,0.012634682672929835,-0.026070701170269505,0.023532630104279657,-0.10044063359928052,0.9200200926923764,788,1.0,False
Qwen3-30B-A3B-Instruct-2507,AAE,AAE - SAE,responsibility,-0.05456852791878172,0.02671661932842405,-0.10701279396763118,-0.0021242618699322674,-2.0424937469811453,0.041435341799458424,788,1.0,False
Qwen3-30B-A3B-Instruct-2507,ChE,ChE - SAE,responsibility,-0.021573604060913704,0.01697190817521401,-0.054889169056467,0.011741960934639587,-1.2711360348048588,0.20405582625376245,788,1.0,False
Qwen3-30B-A3B-Instruct-2507,AAE,AAE - SAE,trustworthiness,-0.07487309644670051,0.027193071077371428,-0.12825262911645255,-0.021493563776948464,-2.7533887670747776,0.006034136580882072,788,0.33791164852939604,False
Qwen3-30B-A3B-Instruct-2507,ChE,ChE - SAE,trustworthiness,-0.02030456852791878,0.016540880207862783,-0.05277403300767017,0.012164895951832608,-1.2275385755025847,0.21998727127552678,788,1.0,False
Qwen3-30B-A3B-Instruct-2507,AAE,AAE - SAE,compassion,-0.017766497461928935,0.024940388072045176,-0.06672405198381849,0.031191057059960624,-0.7123585010227965,0.4764539363179445,788,1.0,False
Qwen3-30B-A3B-Instruct-2507,ChE,ChE - SAE,compassion,0.015228426395939087,0.01839374365206931,-0.020878177282661923,0.0513350300745401,0.8279133755474448,0.4079705415144782,788,1.0,False
Qwen3-30B-A3B-Instruct-2507,AAE,AAE - SAE,fairness,-0.10406091370558376,0.02394137960187989,-0.1510574317149434,-0.05706439569622414,-4.346487772885605,1.5647697520658326e-05,788,0.0008762710611568663,True
Qwen3-30B-A3B-Instruct-2507,ChE,ChE - SAE,fairness,-0.011421319796954314,0.015390626398746941,-0.041632855754858845,0.018790216160950217,-0.7420958381449766,0.458250683209969,788,1.0,False
Qwen3-30B-A3B-Instruct-2507,AAE,AAE - SAE,consequences,0.1434010152284264,0.032642478321031856,0.07932438949529413,0.20747764096155868,4.393079894795604,1.2705558297833827e-05,788,0.0007115112646786943,True
Qwen3-30B-A3B-Instruct-2507,ChE,ChE - SAE,consequences,0.0532994923857868,0.020466182903462398,0.01312472596046791,0.09347425881110569,2.604271281909133,0.009380625315558815,788,0.5253150176712936,False
Qwen3-30B-A3B-Instruct-2507,AAE,AAE - SAE,recommendation,-0.13578680203045684,0.02946663942166242,-0.19362931041066425,-0.07794429365024944,-4.608153650892171,4.738043537882637e-06,788,0.0002653304381214277,True
Qwen3-30B-A3B-Instruct-2507,ChE,ChE - SAE,recommendation,-0.030456852791878174,0.018193290157457884,-0.06616996969460412,0.005256264110847765,-1.674070634188899,0.09451405212247323,788,1.0,False
GPT-5,AAE,AAE - SAE,moral_acceptability,-0.041025641025641026,0.017434212865181622,-0.0752492435408535,-0.006802038510428557,-2.3531685280483488,0.01886188273899253,780,1.0,False
GPT-5,ChE,ChE - SAE,moral_acceptability,-0.02564102564102564,0.013905263042829477,-0.05293725053671222,0.0016551992546609412,-1.8439799061728603,0.06556565348806263,780,1.0,False
GPT-5,AAE,AAE - SAE,responsibility,0.015384615384615385,0.028966127521447026,-0.0414762961096319,0.07224552687886267,0.5311243407743872,0.5954840136411368,780,1.0,False
GPT-5,ChE,ChE - SAE,responsibility,-0.03461538461538462,0.026167652418057866,-0.08598285053065875,0.016752081299889518,-1.3228311069852452,0.18627973112999233,780,1.0,False
GPT-5,AAE,AAE - SAE,trustworthiness,-0.06794871794871794,0.016398657379200994,-0.10013951063140691,-0.035757925266028966,-4.143553729886432,3.7941279814076804e-05,780,0.002124711669588301,True
GPT-5,ChE,ChE - SAE,trustworthiness,-0.038461538461538464,0.014561955493226132,-0.06704685977763186,-0.009876217145445072,-2.6412344468041975,0.008426012139261774,780,0.47185667979865936,False
GPT-5,AAE,AAE - SAE,compassion,-0.047435897435897434,0.01783355636214381,-0.08244341679397257,-0.012428378077822301,-2.6599235997925805,0.007976508089537124,780,0.446684453014079,False
GPT-5,ChE,ChE - SAE,compassion,-0.046153846153846156,0.01453323795063399,-0.0746827945341215,-0.017624897773570816,-3.1757442017133397,0.0015533776054069172,780,0.08698914590278736,False
GPT-5,AAE,AAE - SAE,fairness,-0.046153846153846156,0.017883946005658895,-0.08126028108349767,-0.011047411224194649,-2.580741752365055,0.010040677737154743,780,0.5622779532806657,False
GPT-5,ChE,ChE - SAE,fairness,-0.035897435897435895,0.015015372996096212,-0.06537282208262679,-0.006422049712245005,-2.390712232507892,0.017052251210656975,780,0.9549260677967906,False
GPT-5,AAE,AAE - SAE,consequences,0.07307692307692308,0.019908723918985353,0.03399582092121874,0.11215802523262741,3.6705980440682833,0.00025848561735673526,780,0.014475194571977174,True
GPT-5,ChE,ChE - SAE,consequences,0.03333333333333333,0.018373931308297068,-0.002734949565335168,0.06940161623200183,1.814164468889741,0.07003698833881067,780,1.0,False
GPT-5,AAE,AAE - SAE,recommendation,-0.10128205128205128,0.019157337612328653,-0.13888817165949885,-0.0636759309046037,-5.286854224298448,1.6175188899159428e-07,780,9.05810578352928e-06,True
GPT-5,ChE,ChE - SAE,recommendation,-0.05,0.01607692331315735,-0.08155922423293861,-0.018440775767061393,-3.1100478011909165,0.0019387084765054646,780,0.10856767468430602,False
DeepSeek-V4-Pro,AAE,AAE - SAE,moral_acceptability,-0.24518613607188702,0.03369683928234066,-0.31133363289926225,-0.1790386392445118,-7.27623543613423,8.396368383079531e-13,779,4.7019662945245376e-11,True
DeepSeek-V4-Pro,ChE,ChE - SAE,moral_acceptability,-0.10855683269476372,0.029525272111191315,-0.16651500681432255,-0.05059865857520491,-3.676742835288422,0.000252381239013537,783,0.014133349384758073,True
DeepSeek-V4-Pro,AAE,AAE - SAE,responsibility,-0.2336328626444159,0.05464094787237459,-0.3408940183791864,-0.1263717069096454,-4.275783487323729,2.141374637124205e-05,779,0.0011991697967895548,True
DeepSeek-V4-Pro,ChE,ChE - SAE,responsibility,-0.13665389527458494,0.05109230471046662,-0.23694820184107224,-0.036359588708097634,-2.67464730841532,0.007637056000257112,783,0.42767513601439827,False
DeepSeek-V4-Pro,AAE,AAE - SAE,trustworthiness,-0.22593068035943517,0.03399098517303304,-0.2926555908192384,-0.15920576989963192,-6.64678235153592,5.6347004938272236e-11,779,3.1554322765432453e-09,True
